Date,Climb,Difficulty,Type,Area,Pitches,Height,Style,Partner(s),Notes
2026-07-11,Old Ladies Route,5.2,Trad,Seneca Rocks,2,165,"Solo, Clean",Solo Cl.,"Soloed the first pitch, then used a couple slings to via ferrat on someones lead line to get to the accident. :("
2026-06-24,Old Man's Route,5.2,Trad,Seneca Rocks,1,170,"Solo, Clean",Solo Cl.,Nuthin' to say
2026-06-24,Worrell's Thicket,5.1,Trad,Seneca Rocks,1,160,"Solo, Clean",Solo Cl.,"Soloing is gross, do not recommend"
2025-10-08,Old Man's Route,5.2,Trad,Seneca Rocks,3,200,"Solo, Clean",Solo Cl.,"Soloed Old Man's on a successful booty run to snag the stuck #6 on Conn's West! Also tried to squeeze through the gap in the back of traffic jam notch but my harness was too big. Reckon I'd be able to make it without, I'll have to try again another time!"
