Date,Climb,Difficulty,Type,Area,Pitches,Height,Style,Partner(s),Notes
2024-03-24,West Pole,5.7,Trad,Seneca Rocks,2,180,"Lead, Onsight",Josh Ri.,"W/ Josh. So sick!!! Bring some wide gear, pink tricam under the roof, #1 for the roof, save some TCUs for the corner above"
2024-03-24,Crispy Critter,5.7,Trad,Seneca Rocks,1,55,"Lead, Onsight",Josh Ri.,"A harder, thinner version of critter crack, so good!"
2024-03-24,Le Gourmet,5.4,Trad,Seneca Rocks,1,285,"Lead, Flash",Josh Ri.,Just pitch 1 w/ Josh
2024-03-24,Critter Crack,5.6,Trad,Seneca Rocks,1,80,"Follow, Clean",Josh Ri.,Followed Josh
2024-03-24,Front C,5.6,Trad,Seneca Rocks,1,50,"Follow, Clean",Josh Ri.,With Josh
