Date,Climb,Difficulty,Type,Area,Pitches,Height,Style,Partner(s),Notes
2022-06-07,Fissura Hulk,5.8,Trad,Fendas de Barrinha,1,60,"TR, Clean","Phillipe Qu., Liam El.","Fissura Hulk at 39. Just followed the finger crack, set up a rap from the first bolt on the line"
2022-06-07,Thanos,5.9+,Trad,Fendas de Barrinha,1,60,"Lead, Onsight","Phillipe Qu., Liam El.","Thanos at 39. Punchy, didn&#39;t have quite enough wide gear so had to run it out a bit here and there "
2022-06-07,Despacito,5.4,Trad,Fendas de Barrinha,2,40,"Lead, Onsight","Phillipe Qu., Liam El.",Despacito at 39. Led first. LRS once more to show Liam and Phillipe how it works
2022-06-06,Chamine Stop,"5.7+, R, Grade III",Trad,Pao de Acucar,8,750,"Lead, Onsight",Liam El.,"Led all but first pitch. Dirty, scrappy, runout, and included the single worst pitch I&#39;ve ever climbed in my life that was more like vertical caving with 50lbs of rope drag than actual climbing. French freed the move just before the tunnel section bc the rock was coated in dust/mud. 
Not something I would call a classic (far from it), but if chimneys and adventure climbing are your cup of tea get on it!"
2022-06-01,Diedro Pegasus,5.8,Trad,Babilonia,4,500,"Lead, Onsight",Liam El.,"Diedro P��gaso - Babil��nia. Onsighted 1st pitch on gear, then followed bc Liam also wanted to lead it. Onsighted P2 mixed gear and bolts, followed P3"
2022-05-30,Bom Dia Africa,5.12a,Sport,Plato de Lagoa,1,50,"TR, Fell/Hung",Liam El.,"Bom Dia ��frica (Plat�� de Lagoa) - VIIIa (5.12a).  Liam dragged my happy ass and my destroyed fingers up it, a good time though!"
2022-05-30,Crystal Cannibal,5.9,Sport,Plato de Lagoa,1,90,"Lead, Onsight",Liam El.,Crystal Cannibal (Plat�� de Lagoa) - Vsup (5.9)
