Date,Climb,Difficulty,Type,Area,Pitches,Height,Style,Partner(s),Notes
2022-07-24,Vestpillaren Direct,"5.10d, Grade III",Trad,Presten,12,1300,"Lead, Onsight",Magnus Gu.,"Led evens until P9 (slanting corner; what an incredible pitch!!), where I started leading odds instead. 
Partner wasn't feeling so hot, had the runs. Thanks, water bottle!"
2022-07-23,Gandalf,5.8,Trad,Gandalf Wall,3,330,"Lead, Onsight",Magnus Gu.,Led all three pitches with Magnus
