Date,Climb,Difficulty,Type,Area,Pitches,Height,Style,Partner(s),Notes
2023-05-21,Fear of Flying,5.8,Trad,Seneca Rocks,1,90,"Lead, Onsight","Abigail La., Will Pe.",Awesome climb! Thought provoking crux. Guidebook said it was a must do ��� guidebook was right
2023-05-21,Gebhardt-Dufty,5.7,Trad,Seneca Rocks,5,300,"Follow, Clean","Abigail La., Will Pe.","Followed Abby with Will. Quite an adventure of a climb!
Bootied one nut but lost another, ain't that just the way "
2023-05-20,Old Ladies Route,5.2,Trad,Seneca Rocks,3,150,"Lead, Onsight","Abigail La., Will Pe.","Did the first three pitches of Old Ladies. Followed 1 and 2, led 3. Started dumping rain while setting up the rappel!"
2023-05-20,Marshall's Madness - Crack of Dawn,5.10a,Trad,Seneca Rocks,2,200,"Lead, Onsight","Abigail La., Will Pe.","So sick!!! My proudest onsight to date. The top anchors were kinda hard to find, they were higher than I thought they'd be. Just above the second roof way up high"
2023-05-19,Old Ladies Route,5.2,Trad,Seneca Rocks,1,40,"Solo, Clean","Abigail La., Will Pe.","Did the first pitch, enjoyed the notch for a while, then beebopped down"
2023-05-19,Old Man's Route,5.2,Trad,Seneca Rocks,1,50,"Solo, Clean","Abigail La., Will Pe.","Soloed most of the first pitch, got to a part I didn't think I'd feel comfortable down climbing, so I hung out a while then came down. A total zoo on the wall today"
2023-05-18,Soler,5.7,Trad,Seneca Rocks,1,100,"Lead, Onsight","Abigail La., Will Pe.",Onsighted P2 of Soler. So sick!!!
2023-05-18,Conn's East,5.6,Trad,Seneca Rocks,1,120,"Follow, Clean","Abigail La., Will Pe.",Followed first pitch to access P2 of Soler
2023-05-18,Ye Gods & Little Fishes,5.8,Trad,Seneca Rocks,3,265,"Lead, Onsight","Abigail La., Will Pe.",Onsighted pitch 1. Followed the second two pitches of Skyline Traverse to gain Broadway ledge 
2023-04-16,Head Jam,5.6,Trad,Moores Central Wall,1,110,"Follow, Clean","Abigail La., William Ba., Amma Ya.",Nuthin' to say
2023-04-16,Break On Through,5.10a,Trad,Circus Wall,2,200,"Lead, Flash","Abigail La., William Ba., Amma Ya.","&#34;He always does this, he does a big throw and sticks it, then when I get up there, there are plenty of holds and I static it.&#34; - Abby"
2023-01-03,The 8th Sin,5.11d,Sport,The Underworld,1,40,"Lead, Fell/Hung",Abigail La.,"Two burns on this. The whole place was sopping wet, so we were only able to slap the 4th bolt, but we had a ton of fun doing it!"
2023-01-02,Unwritten Law,5.12b,Sport,The Dump,1,45,"Lead, Fell/Hung",Abigail La.,"Fell at the 4th bolt dead point, then got it. Fell a bunch of times at the crux dyno but couldn't stick it. Lost a bunch of skin from my right hand slipping off it!"
2023-01-02,Boyz N Berries,5.11a,Sport,The Dump,1,60,"Lead, Flash",Abigail La.,Very fun. A few spooky moves where it's all in the rubber keeping you up
2023-01-02,Voodoo Child,5.11a,Sport,The Dump,1,60,"Lead, Redpoint",Abigail La.,Climbed it again bc Paul showed up. I climbed so much more smoothly with him watching!
2023-01-02,Voodoo Child,5.11a,Sport,The Dump,1,60,"Lead, Redpoint",Abigail La.,Fell before the first bolt. Repointed on the second try!
2022-12-30,Deceivious,5.1,Sport,The Cookbook,1,70,"TR, Clean",Abigail La.,"TR burn to practice beta, one take. "
2022-12-30,Deceivious,5.1,Sport,The Cookbook,1,70,"Lead, Fell/Hung",Abigail La.,"Took several times, it gets pretty pumpy! An awesome route, new project probably"
2022-12-30,Grace Under Pressure,5.10b,Trad,The Cookbook,1,80,"Lead, Onsight",Abigail La.,Nuthin' to say
2022-11-12,Boardwalk,5.8,Trad,Ship Rock,2,130,"Lead, Onsight",Abigail La.,"Led P1, followed Abby on P2"
2022-11-12,Anguish of Captain Bligh,5.11a,Trad,Ship Rock,1,50,"Lead, Redpoint",Abigail La.,First .11 on gear! Sick lead on bomber pro!
2022-11-12,Anguish of Captain Bligh,5.11a,Trad,Ship Rock,1,50,"TR, Clean",Abigail La.,"clean, checked out gear"
2022-11-12,Harpoon,5.10a,Trad,Ship Rock,1,50,"Lead, Onsight",Abigail La.,Nuthin' to say
2022-10-29,The Great Arch,"5.5, Grade II",Trad,Stone Mountain,3,400,"Lead, Redpoint",Abigail La.,Spooky climb again. Climbed past a cute little tree frog on pitch 3
